pairs,scores_lh_prev,coref_label
"('45_1ecb.xml_106', '45_1ecb.xml_102')",1,1
"('45_1ecb.xml_137', '45_1ecb.xml_136')",0,1
"('45_1ecb.xml_147', '45_1ecb.xml_135')",0,1
"('45_1ecb.xml_148', '45_1ecb.xml_140')",0,1
"('45_2ecb.xml_39', '45_1ecb.xml_134')",1,1
"('45_2ecb.xml_48', '45_1ecb.xml_135')",1,1
"('45_2ecb.xml_48', '45_1ecb.xml_147')",1,1
"('45_2ecb.xml_48', '45_2ecb.xml_38')",1,1
"('45_2ecb.xml_66', '45_1ecb.xml_102')",1,1
"('45_2ecb.xml_66', '45_1ecb.xml_106')",0,1
"('45_3ecb.xml_11', '45_1ecb.xml_94')",1,1
"('45_3ecb.xml_7', '45_1ecb.xml_134')",1,1
"('45_3ecb.xml_7', '45_2ecb.xml_39')",0,1
"('45_4ecb.xml_38', '45_2ecb.xml_40')",0,1
"('45_4ecb.xml_52', '45_1ecb.xml_137')",1,1
"('45_4ecb.xml_54', '45_2ecb.xml_64')",1,1
"('45_4ecb.xml_55', '45_1ecb.xml_134')",1,1
"('45_4ecb.xml_55', '45_2ecb.xml_39')",1,1
"('45_4ecb.xml_55', '45_3ecb.xml_7')",1,1
"('45_4ecb.xml_62', '45_2ecb.xml_72')",1,1
"('45_4ecb.xml_63', '45_2ecb.xml_72')",1,1
"('45_4ecb.xml_63', '45_4ecb.xml_62')",1,1
"('45_4ecb.xml_64', '45_1ecb.xml_102')",1,1
"('45_4ecb.xml_64', '45_1ecb.xml_106')",1,1
"('45_4ecb.xml_64', '45_2ecb.xml_66')",1,1
"('45_4ecb.xml_68', '45_1ecb.xml_94')",1,1
"('45_4ecb.xml_68', '45_1ecb.xml_95')",1,1
"('45_4ecb.xml_68', '45_3ecb.xml_11')",1,1
"('45_4ecb.xml_69', '45_1ecb.xml_102')",1,1
"('45_4ecb.xml_69', '45_1ecb.xml_106')",1,1
"('45_4ecb.xml_69', '45_2ecb.xml_66')",1,1
"('45_4ecb.xml_69', '45_4ecb.xml_64')",1,1
"('45_5ecb.xml_14', '45_1ecb.xml_102')",1,1
"('45_5ecb.xml_14', '45_1ecb.xml_106')",1,1
"('45_5ecb.xml_14', '45_2ecb.xml_66')",1,1
"('45_5ecb.xml_14', '45_4ecb.xml_64')",1,1
"('45_5ecb.xml_14', '45_4ecb.xml_69')",0,1
"('45_5ecb.xml_15', '45_1ecb.xml_136')",1,1
"('45_5ecb.xml_15', '45_1ecb.xml_137')",1,1
"('45_5ecb.xml_15', '45_4ecb.xml_52')",0,1
"('45_6ecb.xml_100', '45_4ecb.xml_68')",0,1
"('45_6ecb.xml_52', '45_2ecb.xml_40')",0,1
"('45_6ecb.xml_52', '45_4ecb.xml_38')",0,1
"('45_6ecb.xml_53', '45_1ecb.xml_134')",0,1
"('45_6ecb.xml_53', '45_2ecb.xml_39')",0,1
"('45_6ecb.xml_53', '45_3ecb.xml_7')",1,1
"('45_6ecb.xml_53', '45_4ecb.xml_55')",1,1
"('45_6ecb.xml_59', '45_1ecb.xml_135')",1,1
"('45_6ecb.xml_59', '45_1ecb.xml_147')",1,1
"('45_6ecb.xml_59', '45_2ecb.xml_38')",1,1
"('45_6ecb.xml_59', '45_2ecb.xml_48')",0,1
"('45_6ecb.xml_72', '45_2ecb.xml_64')",0,1
"('45_6ecb.xml_72', '45_4ecb.xml_54')",0,1
"('45_6ecb.xml_72', '45_4ecb.xml_56')",1,1
"('45_6ecb.xml_73', '45_2ecb.xml_64')",0,1
"('45_6ecb.xml_73', '45_4ecb.xml_54')",0,1
"('45_6ecb.xml_73', '45_6ecb.xml_72')",0,1
"('45_6ecb.xml_74', '45_2ecb.xml_64')",0,1
"('45_6ecb.xml_74', '45_4ecb.xml_54')",0,1
"('45_6ecb.xml_74', '45_6ecb.xml_72')",0,1
"('45_6ecb.xml_74', '45_6ecb.xml_73')",0,1
"('45_6ecb.xml_77', '45_1ecb.xml_137')",0,1
"('45_6ecb.xml_77', '45_4ecb.xml_52')",0,1
"('45_6ecb.xml_77', '45_5ecb.xml_15')",0,1
"('45_6ecb.xml_78', '45_1ecb.xml_137')",1,1
"('45_6ecb.xml_78', '45_4ecb.xml_52')",1,1
"('45_6ecb.xml_78', '45_5ecb.xml_15')",0,1
"('45_6ecb.xml_78', '45_6ecb.xml_77')",0,1
"('45_6ecb.xml_82', '45_2ecb.xml_72')",1,1
"('45_6ecb.xml_82', '45_4ecb.xml_62')",1,1
"('45_6ecb.xml_82', '45_4ecb.xml_63')",1,1
"('45_6ecb.xml_83', '45_2ecb.xml_72')",1,1
"('45_6ecb.xml_83', '45_4ecb.xml_62')",1,1
"('45_6ecb.xml_83', '45_4ecb.xml_63')",1,1
"('45_6ecb.xml_83', '45_6ecb.xml_82')",1,1
"('45_6ecb.xml_84', '45_2ecb.xml_72')",1,1
"('45_6ecb.xml_84', '45_4ecb.xml_62')",1,1
"('45_6ecb.xml_84', '45_4ecb.xml_63')",1,1
"('45_6ecb.xml_84', '45_6ecb.xml_82')",1,1
"('45_6ecb.xml_84', '45_6ecb.xml_83')",1,1
"('45_6ecb.xml_89', '45_1ecb.xml_102')",1,1
"('45_6ecb.xml_89', '45_1ecb.xml_106')",1,1
"('45_6ecb.xml_89', '45_2ecb.xml_66')",1,1
"('45_6ecb.xml_89', '45_4ecb.xml_64')",1,1
"('45_6ecb.xml_89', '45_4ecb.xml_69')",1,1
"('45_6ecb.xml_89', '45_5ecb.xml_14')",1,1
"('45_6ecb.xml_90', '45_1ecb.xml_102')",1,1
"('45_6ecb.xml_90', '45_1ecb.xml_106')",1,1
"('45_6ecb.xml_90', '45_2ecb.xml_66')",1,1
"('45_6ecb.xml_90', '45_4ecb.xml_64')",1,1
"('45_6ecb.xml_90', '45_4ecb.xml_69')",0,1
"('45_6ecb.xml_90', '45_5ecb.xml_14')",1,1
"('45_6ecb.xml_90', '45_6ecb.xml_89')",0,1
"('45_6ecb.xml_91', '45_1ecb.xml_102')",0,1
"('45_6ecb.xml_91', '45_1ecb.xml_106')",1,1
"('45_6ecb.xml_91', '45_2ecb.xml_66')",0,1
"('45_6ecb.xml_91', '45_4ecb.xml_64')",1,1
"('45_6ecb.xml_91', '45_4ecb.xml_69')",1,1
"('45_6ecb.xml_91', '45_5ecb.xml_14')",1,1
"('45_6ecb.xml_91', '45_6ecb.xml_89')",1,1
