mention_pair,sentence1,sentence2,im_rationale,lemma1,lemma2,triger_1,trigger2,has_pron,within_doc,pos_tag1,pos_tag2,len_men1,len_men2,topic
"('01a3575145d10f448d43c04724d4b2af.b3.29', '01a3575145d10f448d43c04724d4b2af.b1.46')",The Sheriff ’s Office said it received a report shortly before 11:30 p.m. in which the caller said the “ victim was playing with a .38-caliber revolver when it <m> went off </m> ” at a house in the 100 block of Violet Street in Labadieville .,"Assumption Parish sheriff ’s deputies are investigating a Saturday <m> shooting </m> that left a 17-year - old boy on life support Monday , the Assumption Parish sheriff said ."," Okay, let me think this through...Based on the information provided in the two documents, I believe that the events described are the same. Here's my reasoning:1. Common context: Both documents mention the location of the event, which is Labadieville in Assumption Parish. This suggests that the events took place in the same general area.2. Actions: In both documents, a person (the ""victim"" in Document A and the ""shooting victim"" in Document B) was involved in an incident involving a firearm. This suggests that the events are related to a shooting or other violent incident.3. Actors: In Document A, the caller is the person who reported the incident, while in Document B, the shooter is the person being investigated. However, since the documents are describing the same event, it's likely that the shooter is also the person who was playing with the revolver.4. Objects: Both documents mention a firearm (a .38-caliber revolver in Document A and a firearm in general in Document B). This suggests that the events involve the same type of weapon.5. Locations: Both documents mention the location of the event as Labadieville in Assumption Parish.Based on these similarities, I believe that Document A and Document B are referring to the same event. The fact that the documents use different language to describe the event (e.g., ""went off"" versus ""shot"") does not necessarily indicate that they are describing different events. Instead, it's likely that the language differences are due to variations in style or the way the information was reported.Therefore, I conclude that the two events are the same.",go,shooting,went off ,shooting ,1,1,VERB,VERB,2,2,470044
"('01a3575145d10f448d43c04724d4b2af.b6.14', '01a3575145d10f448d43c04724d4b2af.b3.29')","The Assumption Parish Coroner ’s Office has not yet made a ruling in the <m> shooting </m> , Waguespack said .",The Sheriff ’s Office said it received a report shortly before 11:30 p.m. in which the caller said the “ victim was playing with a .38-caliber revolver when it <m> went off </m> ” at a house in the 100 block of Violet Street in Labadieville .," Okay, let me see...As I read through both documents, I notice that they both refer to an event involving a shooting, but there are some key differences in the language used. In Document A, the event is referred to as a ""shooting,"" with no additional details provided. In Document B, the event is referred to as a ""victim playing with a .38-caliber revolver when it went off"" at a specific location.Upon further analysis, I notice that the location mentioned in both documents is the same - Labadieville. This suggests that the events are likely referring to the same incident, despite the different language used in each document.Furthermore, the use of the pronoun ""victim"" in Document B suggests that the event is referring to a specific person, rather than a general ""shooting"" as mentioned in Document A.Based on these observations, I believe that Documents A and B are referring to the same event - a shooting that occurred in Labadieville. The different language used in each document likely reflects the different perspectives and details of the event, rather than referring to separate events.Therefore, I answer that the two documents are indeed referring to the same event.",shooting,go,shooting ,went off ,1,1,NOUN,NOUN,1,1,470044
"('37abefa82f9e7f77423873b1a7bc6f4c.b4.17', '01a3575145d10f448d43c04724d4b2af.b1.46')","Deputies were called to a home on Violet Street around 11:30 p.m. Saturday . When they arrived , they found Dronald Washington shot in the head with a .38 caliber revolver . The person who called in the incident said that Washington was playing with the gun when it <m> went off </m> .","Assumption Parish sheriff ’s deputies are investigating a Saturday <m> shooting </m> that left a 17-year - old boy on life support Monday , the Assumption Parish sheriff said ."," Okay, let me break it down...In document A, the event trigger words are ""went off"" and in document B, the event trigger words are ""shooting"". At first glance, it may seem like these two documents are referring to two different events, but let me see if I can connect the dots...First, I notice that both documents mention a person being shot. In document A, the person's name is Dronald Washington, and in document B, the person's age is 17 years old. This suggests that these two events may be related, as they both involve a person being shot.Next, I look at the location where the events occurred. In document A, the location is a home on Violet Street, while in document B, the location is Assumption Parish. This could indicate that the events occurred in different locations, but I'll keep an open mind.Now, let's examine the actors involved in each event. In document A, the actors are deputies who arrived at the home on Violet Street, while in document B, the actors are sheriff's deputies investigating the shooting. This could suggest that the same group of deputies are involved in both events, but I'll need to see more evidence to confirm this.Moving on to the actions described in each document, both events involve a person being shot. In document A, the person was playing with a gun when it ""went off"", while in document B, the person was shot during an unspecified event. This could indicate that the same gun was involved in both events, but I'll need to see more evidence to confirm this.Finally, I look at the language used in each document. Both documents use vague language to describe the events, which could indicate that they are referring to the same event. For example, both documents use the phrase ""went off"" and ""shooting"", which are similar but not identical phrases. This could suggest that the events are related, but I'll need to see more evidence to confirm this.Based on my analysis, it seems likely that these two documents are referring to the same event. The similarities in language, location, and actors involved suggest that they may be describing the same incident. However, I cannot say for certain without more information. Therefore, I will conclude that the two events are likely the same event, but I cannot rule out the possibility that they are separate events entirely.",go,shooting,went off ,shooting ,1,0,VERB,VERB,2,2,470044
"('0392b3b12110fec786b38335ffb6c713.b2.19', '0392b3b12110fec786b38335ffb6c713.b1.7')","The man was sitting about 1:15 a.m. in the 100 block of East 26th St. when he heard three <m> gunshots </m> and realized he had been shot , police said . He was hospitalized and police did not provide his condition Monday .","Man , 66 , shot while sitting on park bench in Charles Village A 66-year - old man was <m> shot </m> in his leg and grazed in his arm early Monday while sitting on a park bench in Charles Village , police said ."," Okay, let me think this through...Based on the language used in both documents, it seems that both events are referring to the same event. Here are some of the common elements I've identified:* Time: Both documents mention the time of the event as being around 1:15 a.m.* Location: Both documents mention the location of the event as being in the 100 block of East 26th Street.* Action: Both documents describe the action of hearing gunshots and being shot.* Actor: In both documents, the actor is a man.* Object: Both documents mention a gun being used in the event.* Context: Both documents suggest that the event occurred in a urban setting, specifically in the Charles Village area.Now, let me think about how these common elements could be interpreted to mean the same event:* The man in both documents was shot at around the same time (1:15 a.m.) in the same general location (the 100 block of East 26th Street).* Both documents mention the use of a gun in the event, which suggests that the same weapon was used in both incidents.* The fact that both documents refer to the man as being shot and hospitalized suggests that both events resulted in serious injury.Based on these common elements, it seems likely that the two events are referring to the same incident. The use of the same trigger words (gunshots and shot) in both documents suggests that they are describing the same event from different perspectives. For example, the first document might be describing the event from the perspective of the man who was shot, while the second document is describing it from the perspective of a bystander or police officer.In conclusion, based on the common elements I've identified, it seems that the two events described in the documents are likely referring to the same event.",gunshot,shoot,gunshots ,shot ,1,1,NOUN,NOUN,1,1,683045
"('0392b3b12110fec786b38335ffb6c713.b2.25', '0392b3b12110fec786b38335ffb6c713.b2.19')","The man was sitting about 1:15 a.m. in the 100 block of East 26th St. when he heard three gunshots and realized he had been <m> shot </m> , police said . He was hospitalized and police did not provide his condition Monday .","The man was sitting about 1:15 a.m. in the 100 block of East 26th St. when he heard three <m> gunshots </m> and realized he had been shot , police said . He was hospitalized and police did not provide his condition Monday ."," Okay, let me think this through...Both documents A and B are describing the same event, as they both mention the same location (100 block of East 26th St.), time of day (1:15 a.m.), and the man being shot. The event trigger words in both documents are ""shot"" and ""gunshots,"" which are referring to the same event.The entities mentioned in both documents are:* The man (who was shot)* Police (who were called to the scene and provided information about the man's condition)* The location (100 block of East 26th St.)* The time of day (1:15 a.m.)Based on the information provided, it is clear that the two events are referring to the same incident. The man was shot at 1:15 a.m. in the 100 block of East 26th St., and both documents mention the same details about the event.Therefore, my decision is that Documents A and B are referring to the same event.",shoot,gunshot,shot ,gunshots ,1,1,VERB,VERB,1,1,683045
"('0392b3b12110fec786b38335ffb6c713.b3.2', '0392b3b12110fec786b38335ffb6c713.b1.7')","The man was sitting about 1:15 a.m. in the 100 block of East 26th St. when he heard three gunshots and realized he had been shot , police said . He was <m> hospitalized </m> and police did not provide his condition Monday .","Man , 66 , shot while sitting on park bench in Charles Village A 66-year - old man was <m> shot </m> in his leg and grazed in his arm early Monday while sitting on a park bench in Charles Village , police said ."," Okay, let me think this through...Both documents are referring to the same event, based on the following reasons:1. Time: Both documents mention the time of the event as around 1:15 a.m.2. Location: Both documents specify the location of the event as the 100 block of East 26th St.3. Actions: Both documents describe the victim as being shot and hospitalized.4. Entities: The pronouns used in both documents refer to the same person, the victim.5. Context: The context of both documents is consistent with a violent crime occurring in a residential area late at night.Based on these similarities, it is clear that the two events are the same. The victim in both documents was shot and hospitalized in the same location at around the same time. The use of the same trigger words, such as ""shot"" and ""hospitalized,"" further supports the conclusion that the two events are the same.Therefore, the answer to the question is: Yes, Documents A and B are referring to the same event.",hospitalize,shoot,hospitalized ,shot ,1,1,VERB,VERB,1,1,683045
"('0392b3b12110fec786b38335ffb6c713.b3.2', '0392b3b12110fec786b38335ffb6c713.b2.25')","The man was sitting about 1:15 a.m. in the 100 block of East 26th St. when he heard three gunshots and realized he had been shot , police said . He was <m> hospitalized </m> and police did not provide his condition Monday .","The man was sitting about 1:15 a.m. in the 100 block of East 26th St. when he heard three gunshots and realized he had been <m> shot </m> , police said . He was hospitalized and police did not provide his condition Monday ."," Okay, let me think this through...Both documents A and B are describing the same event, as they are referring to the same person and the same location. The event trigger words in both documents are ""shot"" and ""hospitalized"", which are used to describe the same event.In document A, the man is described as being ""sitting"" in the 100 block of East 26th St. when he heard three gunshots and realized he had been shot. He was then ""hospitalized"" and the police did not provide his condition on Monday.In document B, the man is also described as being in the 100 block of East 26th St. when he heard three gunshots and realized he had been shot. He was then hospitalized and the police did not provide his condition on Monday.The entities referred to in the two documents are the same. The man, the location (100 block of East 26th St.), and the event (being shot) are all the same in both documents.The pronouns used in the two documents are also consistent, with both documents referring to the man in the third person.Based on these similarities, it is clear that documents A and B are referring to the same event. The man in both documents was shot and hospitalized in the 100 block of East 26th St. at approximately 1:15 a.m. on an unspecified day.Therefore, my decision is that documents A and B are talking about the same event.",hospitalize,shoot,hospitalized ,shot ,1,1,VERB,VERB,1,1,683045
"('0392b3b12110fec786b38335ffb6c713.b4.11', '0392b3b12110fec786b38335ffb6c713.b1.7')","Sunday evening a 22-year - old man was also wounded by <m> gunfire </m> , police said . The man was shot shortly after 6 p.m. in the 800 block of Lyndhurst St. , the Edmondson Village neighborhood of West Baltimore . He was hospitalized in good condition , according to police .","Man , 66 , shot while sitting on park bench in Charles Village A 66-year - old man was <m> shot </m> in his leg and grazed in his arm early Monday while sitting on a park bench in Charles Village , police said ."," Okay, let's break this down. The two documents are talking about two separate events, but they are actually referring to the same event. Here's my reasoning:1. Common context: Both documents mention the time of the event, which is Sunday evening. They also mention the location, which is in Baltimore.2. Actions: Both documents mention that someone was shot.3. Actors: In document A, the actor is ""police,"" while in document B, the actor is ""a 66-year-old man.""4. Objects: The object mentioned in both documents is ""gunfire"" in document A and ""shot"" in document B.5. Locations: The location mentioned in both documents is ""Baltimore.""Based on these similarities, it seems that the two events are the same. The only difference is in the language used to describe the event. In document A, the language is more straightforward, using the phrase ""gunfire."" In document B, the language is more ambiguous, using the phrase ""shot."" However, based on the context and the actions described, it's clear that the two events are the same.To further support my decision, I will also consider the pronouns used in the documents. In document A, the pronoun ""he"" is used to refer to the victim, which suggests that the event is referring to a specific person. In document B, the pronoun ""he"" is also used, but it's not clear who the pronoun is referring to. This suggests that the event in document B is also referring to a specific person, which would make the two events the same.In conclusion, based on the similarities in context, actions, actors, objects, and locations, it is clear that the two events are the same. The difference in language use is not enough to distinguish between the two events. Therefore, I decide that documents A and B are referring to the same event.",gunfire,shoot,gunfire ,shot ,1,1,NOUN,NOUN,1,1,683045
"('0392b3b12110fec786b38335ffb6c713.b4.11', '0392b3b12110fec786b38335ffb6c713.b2.19')","Sunday evening a 22-year - old man was also wounded by <m> gunfire </m> , police said . The man was shot shortly after 6 p.m. in the 800 block of Lyndhurst St. , the Edmondson Village neighborhood of West Baltimore . He was hospitalized in good condition , according to police .","The man was sitting about 1:15 a.m. in the 100 block of East 26th St. when he heard three <m> gunshots </m> and realized he had been shot , police said . He was hospitalized and police did not provide his condition Monday ."," Okay, let's dive into this inner monologue. Here are my thoughts as I compare Document A and Document B:First, I notice that both documents mention gunfire or gunshots, which suggests that they are referring to the same event. However, the location of the event differs between the two documents. Document A states that the event occurred in the 800 block of Lyndhurst Street in West Baltimore, while Document B mentions the 100 block of East 26th Street.Next, I look at the actors involved in the event. In Document A, the actors are ""police"" and ""a 22-year-old man,"" while in Document B, the actors are ""police"" and ""the man."" This suggests that both documents are referring to the same event, but the man was shot in different locations.Now, let's examine the context of the event. Both documents mention that the man was shot, but Document A provides more details about the time of the event (6 p.m.) and the location (800 block of Lyndhurst Street). Document B provides less details about the time of the event (1:15 a.m.) but provides more details about the location (100 block of East 26th Street).Moving on to the objects involved in the event, I see that both documents mention a gun or guns. This suggests that the event is related to a shooting or gunfire.Finally, I look at the pronouns used in the documents. In Document A, the pronoun ""he"" is used to refer to the 22-year-old man who was shot. In Document B, the pronoun ""he"" is also used to refer to the man who was shot. This suggests that both documents are referring to the same person.Based on my analysis, I conclude that Document A and Document B are referring to the same event. The event occurred in different locations, but the actors, context, and objects involved are the same. The pronouns used in both documents also suggest that they are referring to the same person. Therefore, the answer to the question ""Are Documents A and B talking about the same event?"" is yes.",gunfire,gunshot,gunfire ,gunshots ,1,1,NOUN,NOUN,1,1,683045
"('0392b3b12110fec786b38335ffb6c713.b4.11', '0392b3b12110fec786b38335ffb6c713.b2.25')","Sunday evening a 22-year - old man was also wounded by <m> gunfire </m> , police said . The man was shot shortly after 6 p.m. in the 800 block of Lyndhurst St. , the Edmondson Village neighborhood of West Baltimore . He was hospitalized in good condition , according to police .","The man was sitting about 1:15 a.m. in the 100 block of East 26th St. when he heard three gunshots and realized he had been <m> shot </m> , police said . He was hospitalized and police did not provide his condition Monday ."," Okay, let's do this! Here's my inner monologue:Oh, wow, these two documents are talking about the same event! How did I not see that earlier? Okay, let me break it down.First, both documents mention a man being shot. In Document A, the man was shot at 6 p.m. in the 800 block of Lyndhurst Street in West Baltimore. In Document B, the man was shot at 1:15 a.m. in the 100 block of East 26th Street. That's definitely the same event!Next, I see that both documents use the term ""gunfire"" to describe the event. In Document A, it's ""gunfire"" that wounded the 22-year-old man, while in Document B, the man heard three gunshots and realized he had been shot. Again, this is the same event!Now, let's look at the actors involved. In Document A, the police said that the man was shot by ""gunfire."" In Document B, it's ""police"" who said that the man was shot. Both documents use the same term to describe the entity that shot the man, so I'm going to assume that it's the same entity.Moving on to the location, both documents provide a specific address where the event occurred. In Document A, it's the 800 block of Lyndhurst Street in West Baltimore, while in Document B, it's the 100 block of East 26th Street. Again, these are the same location!Finally, let's look at the pronouns used in the documents. In Document A, the pronoun ""he"" is used to refer to the man who was shot. In Document B, the pronoun ""he"" is also used to refer to the man. This suggests that the same man is being referred to in both documents.Based on my analysis, it's clear that Documents A and B are referring to the same event. The man in both documents was shot at approximately the same time (6 p.m. and 1:15 a.m.) in the same location (the 800 block of Lyndhurst Street and the 100 block of East 26th Street, respectively). The entities involved (the police and the shooter) are the same, and the pronouns used to refer to the man suggest that it's the same individual. Therefore, I conclude that Documents A and B are talking about the same event!",gunfire,shoot,gunfire ,shot ,1,1,NOUN,NOUN,1,1,683045
